Abbreviations,Location,Type,EIS / ECS,Collectors
aukil,Australia,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
camtl,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
cator,Toronto,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
chneu,Neuch͢tel,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
cnsha,Shanghai,Any,Any,cnshapdlogcol01.autodesk.com:cnshapdlogcol02.autodesk.com
decne,Germany,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
finpo,Finland,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
gerbe,Germany,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
gerda,Germany,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
gumes,Gumligen,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
gumne,Gumligen,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
hydne,India,Any,Any,sgsinpdlogcol01.autodesk.com:sgsinpdlogcol02.autodesk.com
mannb,Manchester,Any,Any,uscrlpdlogcol01.ads.autodesk.com:uscrlpdlogcol02.ads.autodesk.com
manne,Manchester,Mass Storage Device,Any,uscrlpdlogcol05.ads.autodesk.com:uscrlpdlogcol06.ads.autodesk.com
mtlcl,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
mtlde,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
mtles,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
mtlnb,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
mtlne,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
mtlni,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
mtlpd,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
mtlrd,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
mtlsc,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
mtprd,Montreal,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
neucm,Neuch͢tel,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
neunb,Neuch͢tel,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
neune,Neuch͢tel,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
neupd,Neuch͢tel,Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
novin,Novi,Mass Storage Device,Any,uscrlpdlogcol05.ads.autodesk.com:uscrlpdlogcol06.ads.autodesk.com
osnet,"Lake Oswego, OR",Mass Storage Device,Any,uscrlpdlogcol05.ads.autodesk.com:uscrlpdlogcol06.ads.autodesk.com
ottbk,Ottawa,Mass Storage Device,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
ottnb,Ottawa,Any,Any,uscrlpdlogcol01.ads.autodesk.com:uscrlpdlogcol02.ads.autodesk.com
plkra,"Krakow, Poland",Any,Any,chneupdlogcol01.autodesk.com:chneupdlogcol02.autodesk.com
sgsin,Singapore,Any,Any,sgsinpdlogcol01.autodesk.com:sgsinpdlogcol02.autodesk.com
shane,Shanghai,Any,Any,cnshapdlogcol01.autodesk.com:cnshapdlogcol02.autodesk.com
shang,Shanghai,Any,Any,cnshapdlogcol01.autodesk.com:cnshapdlogcol02.autodesk.com
shapd,Shanghai,Any,Any,cnshapdlogcol01.autodesk.com:cnshapdlogcol02.autodesk.com
sines,Singapore,Any,Any,sgsinpdlogcol01.autodesk.com:sgsinpdlogcol02.autodesk.com
sinnb,Singapore,Any,Any,sgsinpdlogcol01.autodesk.com:sgsinpdlogcol02.autodesk.com
sinne,Singapore,Any,Any,sgsinpdlogcol01.autodesk.com:sgsinpdlogcol02.autodesk.com
sinpd,Singapore,Any,Any,sgsinpdlogcol01.autodesk.com:sgsinpdlogcol02.autodesk.com
tokne,Tokyo,Any,Any,sgsinpdlogcol01.autodesk.com:sgsinpdlogcol02.autodesk.com
torbk,Toronto,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
tores,Toronto,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
tornb,Toronto,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
torne,Toronto,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
torpd,Toronto,Any,Any,camtlpdlogcol01.autodesk.com:camtlpdlogcol02.autodesk.com
usbos,"Weltham, MA",Mass Storage Device,Any,uscrlpdlogcol05.ads.autodesk.com:uscrlpdlogcol06.ads.autodesk.com
uscrl,Carlstadt,ESX Server,EIS EO Windows Operations,uscrlpdlogcol01.ads.autodesk.com:uscrlpdlogcol02.ads.autodesk.com
uscrl,Carlstadt,Linux Server,EIS EO Unix Operations,uscrlpdlogcol01.ads.autodesk.com:uscrlpdlogcol02.ads.autodesk.com
uscrl,Carlstadt,ESX Server,EIS EO Unix Operations,uscrlpdlogcol01.ads.autodesk.com:uscrlpdlogcol02.ads.autodesk.com
uscrl,Carlstadt,ESX Server,Enterprise Cloud Services,uscrlpdlogcol03.ads.autodesk.com:uscrlpdlogcol04.ads.autodesk.com
uscrl,Carlstadt,Mass Storage Device,EIS EO Storage Operations,uscrlpdlogcol05.ads.autodesk.com:uscrlpdlogcol06.ads.autodesk.com
usman,Manchester,Linux Server,Any,uscrlpdlogcol01.ads.autodesk.com:uscrlpdlogcol02.ads.autodesk.com
usman,Manchester,Mass Storage Device,Any,uscrlpdlogcol05.ads.autodesk.com:uscrlpdlogcol06.ads.autodesk.com
usnov,Novi,Linux Server,Any,uscrlpdlogcol01.ads.autodesk.com:uscrlpdlogcol02.ads.autodesk.com
usnov,Novi,Mass Storage Device,Any,uscrlpdlogcol05.ads.autodesk.com:uscrlpdlogcol06.ads.autodesk.com
usosp,"Lake Oswego, OR",Mass Storage Device,Any,ussclpdlogcol05.ads.autodesk.com:ussclpdlogcol06.ads.autodesk.com
usosw,"Lake Oswego, OR",Any,Any,ussclpdlogcol01.ads.autodesk.com:ussclpdlogcol02.ads.autodesk.com
usscl,Santa Clara,Linux Server,EIS EO Unix Operations,ussclpdlogcol01.ads.autodesk.com:ussclpdlogcol02.ads.autodesk.com
usscl,Santa Clara,ESX Server,EIS EO Unix Operations,ussclpdlogcol01.ads.autodesk.com:ussclpdlogcol02.ads.autodesk.com
usscl,Santa Clara,ESX Server,Enterprise Cloud Services,ussclpdlogcol03.ads.autodesk.com:ussclpdlogcol04.ads.autodesk.com
usscl,Santa Clara,Mass Storage Device,EIS EO Storage Operations,ussclpdlogcol05.ads.autodesk.com:ussclpdlogcol06.ads.autodesk.com
uslar,Carlstadt,Mass Storage Device,EIS EO Unix Operations,uscrlpdlogcol05.ads.autodesk.com:uscrlpdlogcol06.ads.autodesk.com